hoje	Hoje

Para	Para
o	o
homem	homem
q	que
pensa	pensa
direitamte	direitamente
dos	dos
Alpez	Alpes
	,
pode	pode
fazer	fazer
Corte	corte
,	,
pois	pois
q	que
em	em
todo	todo
o	o
lugar	lugar
achará	achará
materia	matéria
,	--
pa	para
o	o
seu	seu
intertinimento	entertenimento
,	,
com	com
satisfasam	satisfação

Como	Como
ele	ele
milhor	melhor
podera	poderá
Relatar	relatar
e	e
Como	como
o	o
prezenCiei	presenciei
e	e
ouvi	ouvi
	,
fis	fiz
escupolo	escrúpulo
	,
o	o
que	que
tudo	tudo
juro	juro
aos	aos
Stos	santos
avangelhos	evangelhos

he	É
certo	certo
q	que
não	não
consente	consente
,	--
e	e
q	que
não	não
tem	tem
nellas	nelas
peccado	pecado

so	Só
mto	muito
mal	mal
Sem	sem
ti	ti
	,
pois	pois
sam	são
tamtas	tantas
as	as
saudades	saudades
	,
que	que
-	--
tas	tas
não	não
poso	posso
expelicar	explicar
e	e
mto	muito
mais	mais
me	me
agoniou	agoniou
o	o
dizeresme	dizeres-me
que	que
estas	estás
doente	doente

e	E
	,
se	se
te	te
diserem	disserem
-	--
houtra	outra
couza	coisa
	,
he	é
mintira	mentira
	,
pois	pois
tu	tu
bem	bem
poderas	poderás
ter	ter
conhesido	conhecido
o	o
meu	meu
amor	amor
	,
pois	pois
he o	é-o
grande	grande
pa	para
Comtigo	contigo
so	só

não	Não
queria	queria
que	que
a	a
denunçiaçe	denunciasse
e	e
diçe	disse
lhe	lhe
chamavão	chamavam
caterina	Catarina
Margarida	Margarida
	,
nal	natural
do	do
Alentejo	Alentejo

pa	Para
a	a
grade	grade
fica	fica
mais	mais
	,
q	que
he	é
o	o
q	que
pude	pude
saber	saber

e	E
	,
como	como
meu	meu
Irmão	irmão
esta	está
na	na
fazenda	fazenda
	,
pareceme	parece-me
que	que
os	os
a	há
de	de
estimar	estimar
como	como
Pais	pais
	,
elle	ele
como	como
bom	bom
filho	filho

este	Este
sr	Senhor
te	te
assista	assista
sempre	sempre
com	com
a	a
sua	sua
divina	divina
graça	graça
e	e
te	te
dê	dê
mto	muito
do	do
seu	seu
amor	amor
,	,
pa	para
q	que
	,
fortalecida	fortalecida
com	com
este	este
	,
possas	possas
triunfar	triunfar
de	de
teus	teus
inimigos	inimigos
,	--
e	e
continuar	continuar
fervoroza	fervorosa
no	no
serviço	serviço
de	de
No	Nosso
Sr	Senhor

e	E
quando	quando
acha	acha
seu	seu
insenso	incenso
todo	todo
	,
o	o
seu	seu
emlejo	ensejo
he	é
insensar	incensar

e	E
asim	assim
espero	espero
na	na
snra	senhora
S	Santa
Anna	Ana
chegar	chegar
com	com
vitoria	vitória
o	ao
fim	fim
da	da
navegasão	navegação
com	com
felis	feliz
suçeso	sucesso
	,
pois	pois
Ds	Deus
:	--
não	não
emgana	engana
nem	nem
pode	pode
emganar	enganar

e	E
tãobem	também
aseite	aceite
Vmces	VMs
de	de
ma	minha
May	Mãe
mtas	muitas
e	e
mta	muita
Lembransas	lembranças

mas	Mas
faze	faze
sempre	sempre
nisso	nisso
o	o
q	que
te	te
fizer	fizer
mais	mais
comodo	cómodo
,	--
e	e
segdo	segundo
a	a
dispozição	disposição
,	--
em	em
q	que
te	te
achares	achares
;	,
porq	porque
eu	eu
o	o
q	que
quero	quero
he	é
q	que
te	te
confesses	confesses
,	--
e	e
comungues	comungues
com	com
frequencia	frequência
,	,
pa	para
poderes	poderes
ficar	ficar
mais	mais
fortalecida	fortalecida
com	com
a	a
graça	graça
do	do
sacramto	sacramento

Bem	Bem
sei	sei
q	que
nem	nem
todos	todos
tem	tem
a	a
minha	minha
paxorra	pachorra
	,
porem	porém
tem	tem
paciencia	paciência
,	--
e	e
offerece	oferece
tudo	tudo
a	a
No	Nosso
Sr	Senhor

dezejarei	Desejarei
me	me
sejas	sejas
firme	firme
	,
pois	pois
eu	eu
te	te
goardo	guardo
Lialdade	lealdade
e	e
tambem	também
quero	quero
que	que
tu	tu
fasas	faças
o	o
mesmo	mesmo

e	E
	,
emfim	enfim
	,
eu	eu
ahi	aí
Remeto	remeto
a	a
carta	carta
pa	para
elle	ele
	,
e	e
vmce	VM
	,
me	me
fara	fará
o	o
favor	favor
	,
qdo	quando
o	o
mandr	mandar
xamar	chamar
	,
lha	lha
emtregara	entregará
e	e
do	do
q	que
paçar	passar
com	com
elle	ele
me	me
fara	fará
o	o
favor	favor
de	de
mo	mo
mandar	mandar
dizer	dizer
	,
ficando	ficando
serto	certo
em	em
q	que
vmce	VM
me	me
valha	valha
nesta	nesta
grande	grande
aflição	aflição

A	A
S	Sua
Snma	Santíssima
Irmde	Irmandade
nos	nos
valha	valha
por	por
qm	quem
he	é

o	O
snr	Senhor
permita	permita
q	que
de	de
hoje	hoje
em	em
diente	diante
nunca	nunca
mais	mais
sigixa	exija
tão	tão
imfernais	infernais
prendas	prendas
	,
pois	pois
q	que
so	só
lusifer	Lúcifer
as	as
pode	pode
dar	dar

porem	Porém
	,
não	não
dar	dar
couza	coisa
nenhuma	nenhuma
,	--
sem	sem
pro	primeiro
me	me
avizar	avisar
do	do
q	que
com	com
elle	ele
tem	tem
paçado	passado
,	,
porq	porque
qro	quero
com	com
seu	seu
Irmão	irmão
ajustar	ajustar
o	o
como	como
isto	isto
ha	há
de	de
ser	ser

Ouvi	Ouvi
o	o
seu	seu
recado	recado
em	em
que	que
vinha	vinha
ca	cá
hontem	ontem
de	de
tarde	tarde
e	e
nesta	nesta
certeza	certeza
fiquei	fiquei
esperando	esperando
pr	por
Vmce	VM
	,
que	que
julgo	julgo
não	não
veio	veio
por	por
ocazião	ocasião
de	de
alguma	alguma
molestia	moléstia
;	,
que	que
	,
a	a
ser	ser
,	,
sinto	sinto

ca	Cá
resevi	recebi
os	os
doses	doces
	,
amais	mais
os	os
sapatos	sapatos

negue	Negue
o	o
povo	povo
e	e
torne	torne
a	a
negar	negar
	,
ela	ela
a	há
de	de
vir	vir
	!
rogue	Rogue
a	a
Ds	Deus
q	que
conserve	conserve
a	a
nosa	nossa
protetora	protetora
	,
q	que
se	se
ela	ela
não	não
fose	fosse
ja	já
tinhamos	tínhamos
padesido	padecido
a	à
ruhina	ruína
	,
porq	porque
	,
dis	diz
Ds	Deus
e	e
nos	nós
não	não
o	o
podemos	podemos
negar	negar
	,
q	que
por	por
ela	ela
todo	todo
o	o
bem	bem
ao	ao
Mundo	mundo
fara	fará

em	--
Os	Os
meus	meus
olhos	olhos
e	e
perninhas	perninhas
te	te
mandam	mandam
mtas	muitas
saudades	saudades
ao	ao
meu	meu
menino	menino

aDs	Adeus
	,
emthe	até
a	à
pra	primeira
vista	vista

e	E
eles	eles
	,
junto	junto
com	com
os	os
seus	seus
siguidores	seguidores
	,
hão	hão
de	de
comfesar	confessar
o	o
poder	poder
dos	dos
meus	meus
santicimos	santíssimos
corasois	corações
de	de
Jezus	Jesus
	,
Maria	Maria
	,
Joze	José
	,
Joaquim	Joaquim
e	e
anna	Ana

adeos	Adeus
	,
meu	meu
marido	marido

Podes	Podes
estar	estar
certa	certa
q	que
N	Nosso
Sr	Senhor
não	não
te	te
falta	falta
,	,
nem	nem
te	te
ha	há
de	de
faltar	faltar
com	com
a	a
sua	sua
graça	graça

De	De
tudo	tudo
isto	isto
,	,
e	e
de	de
tudo	tudo
o	o
que	que
eu	eu
digo	digo
na	na
carta	carta
	,
he	é
necessario	necessário
mto	muito
segredo	segredo

et	Et
	,
quand	quand
je	je
veux	veux
saluer	saluer
les	les
têtes	têtes
couronnées	couronnées
,	,
memes	même
les	les
plus	plus
saintes	saintes
,	--
et	et
justes	justes
	,
unto	unto
os	os
beiços	beiços
com	com
o	o
mel	mel
da	da
adulação	adulação
,	,
arrastada	arrastada
ando	ando
q	que
até	até
me	me
vejo	vejo
obrigada	obrigada
a	a
valer me	valer-me
dos	dos
auxilios	auxílios
da	da
ma	minha
maior	maior
inimiga	inimiga
e	e
	,
quando	quando
quizera	quisera
dizer	dizer
	,
	"
façai	Façai
isto	isto
	!
	"
,	,
digo	digo
,	,
ás	às
vezes	vezes
,	,
	"
Vous	Vous
l'	l'
avez	avez
fait	fait
	!
	"
	,
pa	para
ver	ver
se	se
servirá	servirá
de	de
a	a
monitory	monitory
e	e
desperta	desperta
dor	dor
á	à
ma	minha
worthy	worthy
amiga	amiga
(	(
q	que
alguma	alguma
coiza	coisa
dorminhoca	dorminhoca
)	)
a	a
Consciencia	consciência

passados	Passados
alguns	alguns
dias	dias
da	da
ma	minha
chegada	chegada
	,
me	me
nomeou	nomeou
seo	seu
Dezor	Desembargador
Ordinro	Ordinário
,	--
e	e
	,
atendo	atendendo
a	a
ma	minha
precizão	precisão
	,
me	me
nomeou	nomeou
tambem	também
Vigro Gal	Vigário-Geral
da	da
Comca	Comarca
de	de
Vala	Valença
	,
onde	onde
me	me
faz	faz
vencer	vencer
o	o
ordenado	ordenado
da	da
Rellam	Relação

atarão	Ataram
a	a
fita	fita
tinta	tinta
no	no
sangue	sangue
	,
em	em
cruz	cruz
	,
na	na
cortica	cortiça
;	,
e	e
	,
pregando	pregando
em	em
cruz	cruz
mtos	muitos
alfenetes	alfinetes
,	--
e	e
outros	outros
tortos	tortos
;	,
lhe	lhe
pregarão	pregaram
com	com
elles	eles
este	este
feitiço	feitiço
no	no
seu	seu
corpo	corpo

P.	P.
C.	C.
A	A
hũ	um
rapas	rapaz
q	que
veio	veio
pa	para
este	este
seminrio	seminário
	,
chamado	chamado
Mel	Manuel
Jozeph	Joseph
de	de
Seixas	Seixas
,	,
lhe	lhe
achei	achei
nos	nos
pros	primeiros
dias	dias
huã	uma
bolsa	bolsa
,	--
com	com
mandinga	mandinga
e	e
carta	carta
de	de
tocar	tocar
,	--
e	e
furtar	furtar
;	--
e	e
	,
em	em
hũ	um
papelinho	papelinho
da	da
mesma	mesma
bolsa	bolsa
,	,
huãs	umas
q	que
chamava	chamava
reliquias	relíquias
,	,
algodão	algodão
dos	dos
Santos	santos
oleos	óleos
,	--
e	e
pedra	pedra
de	de
Ara	ara
	,
etc	etc
,	,
o	o
q	que
costumão	costumam
ajuntar	ajuntar
às	às
mandingas	mandingas
comumte	comummente

bem	Bem
te	te
quizera	quisera
levar	levar
comigo	comigo
pa	para
te	te
mostrar	mostrar
por	por
hum	um
oddity	oddity
e	e
ganhar	ganhar
dro	dinheiro
pa	para
fazer	fazer
a	a
despeza	despesa
da	da
jornada	jornada

Tãobem	Também
esse	esse
dezejo	desejo
q	que
sentes	sentes
de	de
tomar	tomar
outro	outro
estado	estado
he	é
certamte	certamente
tentação	tentação
,	,
a	a
q	que
devis	deves
rezistir	resistir
;	,
porq	porque
eu	eu
não	não
quero	quero
tal	tal

pesso	Peço
mto	muito
a	a
Vmce	VM
me	me
Remeta	remeta
	,
por	por
via	via
de	de
Luis	Luís
Nunes	Nunes
,	,
ou	ou
em	em
meu	meu
Nome	nome
	,
huã	uma
duzia	dúzia
de	de
Agulhas	agulhas
de	de
pontos	pontos
de	de
toda	toda
a	a
sorte	sorte
,	--
e	e
huã	uma
tezoura	tesoura
de	de
Cirurgia	cirurgia
pequena	pequena
	,
q	que
eu	eu
	,
em	em
a	a
pra	primeira
embarcazão	embarcação
	,
Remeterei	remeterei
o	o
Custo	custo
de	de
tudo	tudo
	,
ficando	ficando
sempre	sempre
mto	muito
ao	ao
seu	seu
Cervico	serviço
Co	com
Meia	meia
duzia	dúzia
de	de
Lancetas	lancetas

mas	Mas
asim	assim
sempre	sempre
Ds	Deus
ajuda	ajuda

E	E
lhe	lhe
dise	disse
tudo	tudo
de	de
Izabel	Isabel
logo	logo
qdo	quando
Ela	ela
veio	veio
de	de
alcobasa	Alcobaça

Bendito	Bendito
seja	seja
o	o
senhor	Senhor
pa	para
sempre	sempre

estimei	Estimei
--	--
mto	muito
as	as
suas	suas
letras	letras

e	E
os	os
ditos	ditos
papelinhos	papelinhos
.	--
os	os
butou	botou
na	na
Clada	calda
e	e
os	os
meilhou	molhou
e	e
LanCou	lançou
agua	água
benta	benta
e	e
dava	dava
não	não
estou	estou
sreta	certa
quantas	quantas
Culheres	colheres
a	a
duas	duas
Irmañs	irmãs

e	E
asim	assim
veja	veja
vmce	VM
se	se
posso	posso
tornar	tornar
atras	atrás
mais	mais
porq	porque
	,
tendo	tendo
a	a
elles	eles
dado	dado
a	a
posse	posse
,	,
nada	nada
ja	já
he	é
meu	meu
;	,
mas	mas
q	que
tudo	tudo
he	é
seu	seu

e	E
os	os
setenta	setenta
sera	será
em	em
louvor	louvor
da	da
gloria	glória
do	do
corasão	coração
de	de
S	São
Joaquim	Joaquim
	,
q	que
viveu	viveu
mortificado	mortificado
e	e
penitente	penitente

Sim	Sim
	,
estão	estão
de	de
coizas	coisas
deste	deste
genero	género
cheyas	cheias
as	as
obras	obras
dos	dos
poetas	poetas
,	,
mas	mas
a	a
ninguem	ninguém
salvão	salvam
os	os
peccados	pecados
dos	dos
outros	outros

Respondeume	Respondeu-me
q	que
sim	sim
,	,
mas	mas
qdo	quando
se	se
ha	há
de	de
Repender	arrepender
,	?
e	E
hoje	hoje
de	de
madrugada	madrugada
	,
qdo	quando
aCordei	acordei
,	,
aChei	achei
hũa	uma
vos	voz
q	que
me	me
faLava	falava
no	no
peito	peito
,	--
e	e
me	me
dise	disse
	:
	"
dizei	Dizei
o	ao
provedor mor	provedor-mor
;	--
e	e
o	ao
esCudeiro	escudeiro
,	--
q	que
eu	eu
quero	quero
tirar	tirar
do	do
seu	seu
Corral	curral
hũ	um
,	--
gado	gado
,	--
e	e
do	do
seu	seu
Rebanho	rebanho
hũa	uma
ovelha	ovelha
pa	para
justificasão	justificação
da	da
ma	minha
Justisa	justiça

qm	Quem
qr	quer
q	que
o	o
disse	disse
mentio	mentiu
	,
q	que
se	se
lhe	lhe
dissesem	dissessem
estocadas	estocadas
fallavão	falavam
verde	verdade

verás	Verás
se	se
vão	vão
ao	ao
teo	teu
gosto	gosto

nem	Nem
eu	eu
quero	quero
que	que
tu	tu
te	te
infades	enfades
tanto	tanto
comigo	comigo
	,
pois	pois
te	te
devo	devo
favores	favores
,	--
bastantes	bastantes
que	que
em	em
todo	todo
o	o
tempo	tempo
--	--
--	--
te	te
estou	estou
mto	muito
obrigada	obrigada

Deite me	Deite-me
,	--
tua	tua
mae	mãe
,	--
a	a
sua	sua
bensão	bênção
e	e
peça	peça
a	a
N	Nossa
S	Senhora
e	e
Sua	Sua
Santissima	Santíssima
May	Mãe
	,
a	a
Virgem	Virgem
Maria	Maria
Nossa	Nossa
Senhora	Senhora
	,
me	me
prosperem	prosperem
a	a
ma	minha
viagem	viagem
e	e
vida	vida
	,
pois	pois
só	só
assim	assim
hirei	irei
descançado	descansado

no	No
Do	domingo
seguinte	seguinte
;	--
adoeceo	adoeceu

outra	Outra
freira	freira
	,
estando	estando
cantando	cantando
o	o
Tantum	Tantum
ergo	ergo
;	,
poz	pôs
a	a
rigateira	regateira
os	os
olhos	olhos
na	na
grade	grade
;	--
e	e
ella	ela
cahyo	caiu
por	por
terra	terra
	,
sem	sem
sentidos	sentidos
	,
com	com
hũa	uma
dor	dor
no	no
peito	peito
grandissima	grandíssima

e	E
todas	todas
as	as
Pessoas	pessoas
se	se
achavão	achavam
logo	logo
milhor	melhor
e	e
ma	minha
mer	mulher
se	se
achou	achou
logo	logo
bem	bem
e	e
sua	sua
cra	criada
	,
chamada	chamada
Luiza	Luísa
	,
nal	natural
de	de
Campo	Campo

so	Só
fis	fiz
Reparo	reparo
em	em
ele	ele
dizer	dizer
que	que
devia	devia
mto	muito
a	a
ds	Deus
pelo	pelo
mto	muito
que	que
o	o
fizera	fizera
firme	firme
na	na
fe	fé
	,
mas	mas
que	que
ds	Deus
que	que
lhe	lhe
devia	devia
a	a
ele	ele
mto	muito
maes	mais

acabando	Acabando
de	de
Comungar	comungar
;	,
houvi	ouvi
hũa	uma
vos	voz
tirrivel	terrível
que	que
porferio	proferiu
	:
	"
digna	Digna
he	é
de	de
morte	morte
toda	toda
a	a
Cristandade	Cristandade
	"

pois	Pois
	,
Snors	senhores
	,
Como	como
nace	nasce
este	este
Snor	Senhor
em	em
tanta	tanta
vileza	vileza
e	e
baixeza	baixeza
	?
Sera	Será
por	por
não	não
haver	haver
no	no
mundo	mundo
palacios	palácios
a	à
Sua	sua
Satisfasão	satisfação
	?
sera	Será
	,
sendo	sendo
ele	ele
qm	quem
he	é
	?
sim	Sim
	,
porq	porque
os	os
nosos	nossos
Corasois	corações
he	é
q	que
ele	ele
quer	quer
por	por
Caza	casa
	,
e	e
as	as
nosas	nossas
almas	almas
por	por
palacio	palácio
	,
e	e
as	as
nosas	nossas
por	por
trono	trono
	,
e	e
as	as
nosas	nossas
emClinasois	inclinações
e	e
afectos	afetos
por	por
Anjos	anjos
e	e
Serafins	serafins
q	que
o	o
Louvem	louvem
e	e
o	o
adorem	adorem
	,
e	e
os	os
nosos	nossos
dezejos	desejos
por	por
Servos	servos
q	que
o	o
sirvão	sirvam
	,
e	e
a	a
nosa	nossa
feé	fé
por	por
agrado	agrado
q	que
o	o
ame	ame
	,
e	e
a	a
nosa	nossa
esperansa	esperança
por	por
maxima	máxima
q	que
o	o
siga	siga
	,
e	e
a	a
nosa	nossa
Caridade	caridade
por	por
fogo	fogo
q	que
o	o
aquente	aquente
	,
q	que
ele	ele
esta	está
tremendo	tremendo
Com	com
frio	frio
	,
e	e
a	a
nosa	nossa
vontade	vontade
por	por
afecto	afeto
e	e
Caricia	carícia
q	que
o	o
agalante	agalante
	,
q	que
ele	ele
he	é
menino	menino
Chorando	chorando

isto	Isto
q	que
lhe	lhe
digo	digo
	,
meu	meu
filho	filho
	,
he	é
tão	tão
verdade	verdade
asim	assim
Como	como
o	o
mesmo	mesmo
deos	Deus
he	é
verdadeiro	verdadeiro

suas	Suas
filhas	filhas
e	e
minhas	minhas
tambem	também
todas	todas
estiverão	estiveram
de	de
cama	cama
	,
algumas	algumas
prugadas	purgadas
e	e
outras	outras
sangradas	sangradas

pella	Pela
divinna	divina
Mizericordia	misericórdia
vou	vou
pasando	passando
e	e
pasarei	passarei
	,
mas	mas
não	não
sem	sem
vos	vós
	,
pois	pois
q	que
Deos	Deus
N	Nosso
senhor	Senhor
vos	vos
fes	fez
meu	meu

quem	Quem
ma	ma
dera	dera
agora	agora
aqui	aqui
pa	para
a	a
meter	meter
dentro	dentro
do	do
teu	teu
coninho	coninho

menino	Menino
	,
vejo	vejo
o	o
que	que
me	me
dizes	dizes
do	do
Setim	cetim
pa	para
o	o
bestido	vestido

De	De
VSa	VSa
Servo	servo
	,
mto	muito
asste	assistente
Vnor	venerador
e	e
obgdo	obrigado
	,
O	o
Pe	padre
Joze	José
de	de
Souza	Sousa
de	de
Carvo	Carvalho
	,
Cazal	Casal
de	de
Cavernaens	Cavernães
	,
2	2
de	de
Junho	junho
de	de
1797	1797
Rmo	Reverendíssimo
Sr	Senhor
Luis	Luís
Anto	António
de	de
Britto	Brito
Cabral	Cabral

tu	Tu
	,
meu	meu
filho	filho
	,
não	não
Saves	sabes
o	o
coanto	quanto
eu	eu
te	te
amo	amo
e	e
te	te
quero	quero
e	e
te	te
estimo	estimo

não	Não
sei	sei
se	se
será	será
Cauzada	causada
do	do
espirito	espírito

11	11
de	de
fevereiro	fevereiro
de	de
1757	1757

e	E
podes	podes
estar	estar
serto	certo
que	que
so	só
sam	são
tuas	tuas

e	E
pa	para
este	este
fim	fim
manesfestei	manifestei
a	a
reposta	resposta
que	que
tive	tive
Na	na
petisão	petição
que	que
vmce	VM
me	me
pedia	pedia
ao	ao
Meu	meu
padre	padre
espiritual	espiritual

o	O
tal	tal
Rapaz	rapaz
Respondera	respondera
,	--
q	que
seu	seu
pay	pai
dizia	dizia
Missa	missa
,	,
Manoel	Manuel
Roiz	Rodrigues
	,
Pechuga	Pechuga
de	de
alcunha	alcunha
	,
christão novo	cristão-novo
	,
lhe	lhe
ajudava	ajudava
,	--
e	e
q	que
Pascoal	Pascoal
Ramos	Ramos
	,
tão bem	também
christão novo	cristão-novo
	,
q	que
tomava	tomava
sobrepeliz	sobrepeliz
,	,
e	e
q	que
ao	ao
dito	dito
Rapaz	rapaz
o	o
punhão	punham
sobre	sobre
o	o
altar	altar
,	--
e	e
q	que
sua	sua
May	mãe
asoutava	açoutava
hũ	um
santo	santo
christo	Cristo
com	com
hua	uma
corda	corda

e	E
mais	mais
	:
ele	ele
c	--
	,
como	como
Snr	Senhor
e	e
verdadeiro	verdadeiro
amor	amor
	,
sendo	sendo
asim	assim
como	como
sou	sou
	,
coando	quando
reparte	reparte
o	o
seu	seu
amor	amor
com	com
as	as
ninfas	ninfas
do	do
amor	amor
	,
tãobem	também
reparte	reparte
comigo	comigo
	,
pa	para
ver	ver
se	se
asim	assim
me	me
rezolvo	resolvo
a	a
servilo	servi-Lo
mais	mais

e	E
deitelhe	deite-lhe
hũ	um
pouco	pouco
de	de
vinagre	vinagre

e	E
os	aos
filhos	filhos
mto	muito
menos	menos
	,
pois	pois
eles	eles
lhe	lhe
não	não
enpedem	impedem
a	a
q	que
deixe	deixe
o	o
q	que
por	por
forsa	força
a	há
de	de
deixar	deixar
Com	com
a	a
morte	morte
	,
e	e
q	que
acotese	acontece
para	para
qm	quem
a	a
Chama	chama
para	para
o	o
salvar	salvar

Vindo	Vindo
	,
pois	pois
	,
eu	eu
a	a
esta	esta
sidade	cidade
pella	pela
somana	Semana
santa	Santa
a	a
pregar	pregar
no	no
nosso	nosso
convento	convento
o	o
Descendimento	Descendimento
,	,
achei	achei
esta	esta
Certidam	certidão
em	em
Carta	Carta
fichada	fechada
	,
pa	para
se	se
ma	ma
Remeter	remeter
	,
a	a
qual	qual
vendo a	vendo-a
mandei	mandei
chamar	chamar
a	a
da	dita
minha	minha
comadre	comadre
queixoza	queixosa
pa	para
melhor	melhor
me	me
emformar	informar
da	da
materia	matéria

sinto	Sinto
mto	muito
a	a
sua	sua
molestia	moléstia

eu	Eu
;	--
Cá	cá
lhe	lhe
dise	disse
que	que
Se	se
viese	viesse
benzer	benzer
Com	com
o	o
meu	meu
Padre	padre
;	,
mas	mas
;	--
eu	eu
;	--
Suponho	suponho
;	--
que	que
;	--
ele	ele
fas	faz
,	--
viagem	viagem
Com	com
brevidade	brevidade
e	e
presa	pressa
;	,
por	por
hiso	isso
he	é
q	que
não	não
tenho	tenho
tempo	tempo
para	para
esCrever	escrever
mais	mais
Largamente	largamente
;	--
o	ao
meu	meu
afilhado	afilhado

Deste	Deste
ceu	seu
menor	menor
escravo	escravo
	,
jozephe	José
gomes	Gomes
hoje	Hoje
de	de
Feverero	fevereiro
	,
20	20
Lisboa	Lisboa
	,
Mar	moradora
rua	Rua
Das	das
modas	Modas
Meu	Meu
sr	Senhor
	,
depois	depois
de	de
ter	ter
escripto	escrito
a	a
vmce	VM
huma	uma
carta	carta
,	,
se	se
me	me
offeresse	oferece
hum	um
nego	negócio
nessa	nessa
cide	cidade
com	com
algumas	algumas
sombras	sombras
de	de
comveniencia	conveniência

e	E
de	de
mim	mim
aseite	aceite
vmce	VM
e	e
ma	minha
snrã	senhora
mtas	muitas
e	e
mtas	muitas
e	e
mtas	muitas
saudades	saudades
minhas	minhas
	,
e	e
me	me
protro	prostro
a	a
seus	seus
pes	pés
	,
e	e
das	das
snras	senhoras
mosas	moças
todas	todas

não	Não
se	se
une	une
Com	com
a	a
grosaria	grossaria
do	do
noso	nosso
emtender	entender
Contrario	contrário
ao	ao
seu	seu
Mandato	mandato

fis	Fiz
hum	um
rol	rol
de	de
todos	todos
	,
asim	assim
de	de
amigos	amigos
,	--
como	como
de	de
inimigos	inimigos
,	,
e	e
asentei	assentei
no	no
numero	número
da	da
corte	corte
celeste	celeste
;	,
pa	para
q	que
com	com
esta	esta
portentoza	portentosa
devoção	devoção
possa	possa
eu	eu
fazer	fazer
fructo	fruto
pa	para
todos	todos
,	--
qtos	quantos
a	a
minha	minha
vontade	vontade
abraça	abraça
e	e
o	o
meu	meu
dezo	desejo
quer	quer
q	que
se	se
salvem	salvem

Recomendame	Recomenda-me
a	a
ds	Deus
q	que
te	te
gde	guarde
como	como
mto	muito
dezejo	desejo
,	--
e	e
afervore	afervore
no	no
seu	seu
sto	santo
serviço	serviço
,	--
e	e
abraze	abrace
no	no
seu	seu
amor	amor

aseita	Aceita
mtas	muitas
Saudades	saudades
das	das
tuas	tuas
maminhas	maminhas
	,
que	que
ficam	ficam
Com	com
mtas	muitas
Saudades	saudades
tuas	tuas
e	e
fiCam	ficam
a	a
Chorar	chorar
peLo	pelo
seu	seu
filho	filho
que	que
se	se
bai	vai
invora	embora

e	E
se	se
Vmce	VM
mesmo	mesmo
pudese	pudesse
vir	vir
andar	andar
Com	com
os	os
seus	seus
papeis	papéis
	,
que	que
viese	viesse

eu	Eu
	,
por	por
não	não
ter	ter
tempo	tempo
	,
não	não
mando	mando
dizer	dizer
a	a
vmces	VMs
das	das
grandes	grandes
sentensas	sentenças
que	que
temos	temos
sobre	sobre
toda	toda
a	a
Cristandade	Cristandade

nisto	Nisto
	,
grittarão	gritaram
pellos	pelos
negros	negros
propriamte	propriamente
	,
Como	como
fazẽ	fazem
os	os
horeges	hereges
;	:
	"
mattais	Matais
,	,
prendeis	prendeis
,	,
dais	dais
o	o
que	que
não	não
teve	teve
effeitto	efeito

Eu	Eu
bem	bem
vejo	vejo
ja	já
e	e
ouço	ouço
q	que
aqla	aquela
trombeta	trombeta
divina	divina
,	--
q	que
nossas	nossas
mimas	mimas
andava	andava
huas	umas
vezes	vezes
tocando	tocando
e	e
outras	outras
falando	falando
,	,
ensinandonos	ensinando-nos
com	com
doutrina	doutrina
mais	mais
incuberta	encoberta
	,
e	e
ja	já
vai	vai
chegando	chegando
a	a
ora	hora
de	de
cumprir	cumprir
a	a
Profecia	profecia
,	,
pois	pois
vmce	VM
ja	já
a	há
baste	bastante
tempo	tempo
tem	tem
nota	notícia

A	A
noticia	notícia
dirivada	derivada
do	do
Sr	Senhor
Nuno	Nuno
da	da
Silva	Silva
	,
como	como
he	é
boa	boa
,	,
nam	não
sahirá	sairá
a	à
luz	luz
;	,
porq	porque
	,
como	como
em	em
Portugal	Portugal
se	se
nam	não
dá	dá
lugar	lugar
às	às
deliberaçoens	deliberações
Pontificias	pontifícias
,	,
q	que
importa	importa
,	--
q	que
o	o
Papa	Papa
mande	mande
	,
se	se
se	se
nam	não
executarem	executarem
as	as
suas	suas
ordens	ordens
.	?
Ás	Às
de	de
vs	VSa
estarey	estarei
eu	eu
sempre	sempre
,	,
e	e
peço	peço
a	a
Ds	Deus
ge	guarde
a	a
pessoa	pessoa
de	de
vs	VSa
por	por
ms	muitos
ans	anos

vejo	Vejo
o	o
que	que
me	me
dizes	dizes
que	que
te	te
diseram	disseram
	:
que	que
eu	eu
tinha	tinha
alugado	alugado
humas	umas
Cazas	casas
e	e
tambem	também
do	do
torto	Torto
de	de
ponte	Ponte

Dezejo	Desejo
VSSa	VSa
Logre	logre
saude	saúde
prefeita	perfeita

e	E
	,
asin	assim
	,
he	é
necesso	necessário
que	que
vm	VM
va	vá
Logo	logo
	,
Logo	logo
ao	ao
sto	Santo
officio	Ofício
denunciar	denunciar
tambem	também

vejo	Vejo
o	o
que	que
me	me
dizes	dizes
do	do
laso	laço
de	de
bidrinho	vidrinho
azul	azul

Se	Se
me	me
occorresse	ocorresse
cousa	coisa
que	que
devesse	devesse
advertir	advertir
a	a
V	Vossa
Exa	Excelência
,	,
me	me
aproveitaria	aproveitaria
da	da
liberdade	liberdade
que	que
me	me
dá	dá
para	para
assim	assim
o	o
fazer	fazer

saudades	Saudades
minhas	minhas
